16	1:2
a	1:7,29,82,132,141,174
always	1:58
an	1:89
and	1:112,140,151
animation	1:51
anything	1:136
are	1:57
as	1:173
at	1:187
awkward	1:113
back	1:22,104
ball	1:93
before	1:88
better	1:31,156
bloated	1:71
bundle	1:169
but	1:35,105
button	1:102
buttons	1:79
buy	1:166
buying	1:15
by	1:69
can	1:161
chance	1:133
clock	1:97
code	1:6
comes	1:172
controls	1:73
crossing	1:148
digital	1:5
done	1:87
down	1:68
download	1:175
each	1:61
every	1:17
few	1:142
fingers	1:150
football	1:24
from	1:10
game	1:42,171
gameplay	1:64
games	1:144
gamestop	1:188
get	1:21,86
giant	1:83
great	1:44
guessing	1:122
had	1:131
hate	1:179
haven	1:129
hoping	1:19,152
i	1:13,120,128,146,160
if	1:114,177
improvement	1:9
in	1:186
is	1:28,52,65,80,103,109,155,163
it	1:180,185
keep	1:14
last	1:11,33,117
like	1:125
liked	1:116
little	1:30
ll	1:124
looks	1:43
m	1:121,147
madden	1:0,16,168
movement	1:108
much	1:40
my	1:149
nfl	1:1
no	1:183
not	1:38,164
now	1:81
on	1:60
one	1:4,158
online	1:143
only	1:46
opponent	1:90
or	1:94
other	1:62,137
out	1:99
pita	1:84
play	1:96,135
player	1:107
players	1:56
preplay	1:72
recommend	1:162
rest	1:154
runs	1:98
s	1:37,182
saying	1:39
slight	1:8
slow	1:111
slowed	1:67
snaps	1:91
so	1:145,176
still	1:66,110
t	1:130
take	1:77
than	1:32,138
that	1:36
the	1:41,45,50,53,55,63,70,92,95,100,106,153,157,167,170
there	1:181
they	1:20
thing	1:47,159
this	1:25,126
to	1:23,76,85,134,165
too	1:127
trading	1:184
training	1:139
tripping	1:59
turbo	1:101
two	1:78
used	1:75
version	1:27,119
way	1:54
what	1:74
with	1:49
wrong	1:48
xbox	1:3
year	1:12,18
years	1:26,34,118
you	1:115,123,178
